#,URL Rating (desc),Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,Type,TextPre,Link Anchor,TextPost,HTTP Code,DP check,RP check,
61,17,https://www.iii.org/press-release/protect-yourself-from-identity-theft-as-the-holiday-shopping-season-begins-112012,Protect Yourself from Identity Theft as the Holiday Shopping Season Begins | III,67,25,https://privacyrights.org/Identity-Theft-Data-Breaches,Dofollow,,Privacy Rights Clearing House (PRC) Identity Theft and Data Breaches,,404,2020-04-17 02:40:18,2020-03-18T08:25:07Z,
61,17,https://www.iii.org/press-release/protect-yourself-from-identity-theft-as-the-holiday-shopping-season-begins-112012,Protect Yourself from Identity Theft as the Holiday Shopping Season Begins | III,67,25,https://www.fbi.gov/scams-and-safety/common-fraud-schemes/fraud,Dofollow,,Federal Bureau of Investigation: Tips for Avoiding Identity Theft,,404,2020-03-15 05:56:33,2020-03-18T08:25:07Z,
62,17,https://www.iii.org/insuranceindustryblog/category/social-media/,"Social Media | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",329,52,https://www.chubb.com/corporate/chubb17607.html,Dofollow,,ChubbÃ¢â‚¬â„¢s just-published 2013 Private Company Survey,found that 68 percent of companies are using social media,404,2020-04-18 01:49:59,2020-03-25T14:24:42Z,
62,17,https://www.iii.org/insuranceindustryblog/category/social-media/,"Social Media | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",329,52,https://www.grantthornton.com/404.aspx,Dofollow,,"The evaluation and monitoring of risk needs to be a key component of any organizationÃ¢â‚¬â„¢s social media strategy, and its importance cannot be overstated.Ã¢â‚¬ ",,404,2020-04-14 19:25:09,2020-03-25T14:24:42Z,
62,17,https://www.iii.org/insuranceindustryblog/category/social-media/,"Social Media | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",329,52,https://www.nfpa.org/safety-information/for-consumers/causes/candles,Dofollow,the National Fire Protection Association (NFPA) has some timely,candle fire safety tips,to consider.,404,2020-04-13 14:56:38,2020-03-25T14:24:42Z,
62,17,https://www.iii.org/insuranceindustryblog/category/social-media/,"Social Media | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",329,52,https://bpi.com/romance-scam-the-emoji-prince-tale/,Dofollow,lose billions of dollars by falling victim to romance scams?,The Financial Services Roundtable (FSR) warns,"that nearly every demographic is at risk, but the people",404,2020-04-08 22:17:31,2020-03-25T14:24:42Z,
62,17,https://www.iii.org/insuranceindustryblog/category/social-media/,"Social Media | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",329,52,https://www.umassd.edu/cmr/socialmedia/2012fortune500/,Dofollow,,"It is obvious that there has been a surge forward in the adoption and use of social media and new communications tools among this yearÃ¢â‚¬â„¢s Fortune 500. For years, this group has lagged behind other sectors and at times appeared to shun social media. These latest numbers show a renewed interest that includes using these tools for engagement, hiring and fundraising as well as for ...",,404,2020-04-08 17:41:09,2020-03-25T14:24:42Z,
62,17,https://www.iii.org/insuranceindustryblog/category/social-media/,"Social Media | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",329,52,https://www.financialexecutives.org/KenticoCMS/News---Publications/Press-Room/2013-press-releases/Companies-lack-formal-social-media-training.aspx,Dofollow,,An earlier report from Grant Thornton LLP and the Financial Executives Research Foundation (FERF),", found that some 71 percent of public and private",404,2020-03-15 12:49:39,2020-03-25T14:24:42Z,
63,17,https://www.iii.org/insuranceindustryblog/category/coastal-property/,"Coastal Property | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",284,55,https://www.corelogic.com/about-us/researchtrends/storm-surge-report,Dofollow,Data in the full CoreLogic report can be found,here,.,404,2020-04-18 05:34:36,2020-03-26T22:49:29Z,
63,17,https://www.iii.org/insuranceindustryblog/category/coastal-property/,"Coastal Property | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",284,55,https://weather.com/404,Dofollow,,"The 1992 season produced only six named storms and one subtropical storm. However, one of those named storms was Hurricane Andrew, which devastated South Florida as a Category 5 hurricane. In 1983 there were only four named storms, but one of them was Alicia. The Category 3 hurricane hit the Houston-Galveston area and caused almost as many direct fatalities there as Andrew did in South Florida.”",,404,2020-03-30 01:41:04,2020-03-26T22:49:29Z,
63,17,https://www.iii.org/insuranceindustryblog/category/coastal-property/,"Coastal Property | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",284,55,https://www.floodsmart.gov/floodsmart/,Dofollow,hurricanes isexcludedunder standard policies. Flood coverage is available from FEMA’s,National Flood Insurance Program (NFIP),and from some private insurers.,404,2020-03-07 01:23:46,2020-03-26T22:49:29Z,
64,17,https://www.iii.org/insuranceindustryblog/links/,"Links | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",233,58,http://www.insuremeblog.com/agent/property_casualty_insurance_news/,Dofollow,,http://www.insuremeblog.com/agent/property_casualty_insurance_news/,"– written by the staff at InsureMe.com, a Colorado-based online",404,2020-04-15 10:18:56,2020-04-18T08:05:48Z,
65,17,https://www.iii.org/insuranceindustryblog/category/thunderstorms/,"Thunderstorms | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",263,70,https://disastersafety.org/hail/ibhs-hail-field-studies/,Dofollow,"Insurance Institute for Business and Home Safety (IBHS), is continuing",a major multi-year research study,into hailstorms. IBHS resources on preventing property losses are available here,404,2020-04-13 21:45:55,2020-04-01T04:14:15Z,
65,17,https://www.iii.org/insuranceindustryblog/category/thunderstorms/,"Thunderstorms | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",263,70,https://www.munichre.com/us/property-casualty/press-news/press-releases/2016/NatCat/index.html,Dofollow,,"“Property damage from this spring’s thunderstorm season remind us that a roof is a building’s first line of defense against hail and wind events. Proper roof maintenance, roofing materials and installation are all critical to helping reduce these types of losses.”",,404,2020-03-28 18:39:30,2020-04-01T04:14:15Z,
65,17,https://www.iii.org/insuranceindustryblog/category/thunderstorms/,"Thunderstorms | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",263,70,https://disastersafety.org/hail/reduce-hail-damage-to-homes/,Dofollow,Insurance Institute for Business and Home Safety website here and,here,.,404,2020-03-26 06:57:10,2020-04-01T04:14:15Z,
65,17,https://www.iii.org/insuranceindustryblog/category/thunderstorms/,"Thunderstorms | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",263,70,https://www.munichre.com/us/property-casualty/knowledge/expertise/apps/fortified-app/index.html,Dofollow,,FORTIFIED HomeTM On the Go,can be downloaded free from the iTunes Store.,404,2020-03-19 02:57:16,2020-04-01T04:14:15Z,
65,17,https://www.iii.org/insuranceindustryblog/category/thunderstorms/,"Thunderstorms | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",263,70,https://disastersafety.org/thunderstorms/,Dofollow,Check out these resources (,here,and here ) from the Insurance Institute for Business & Home,404,2020-03-17 22:06:02,2020-04-01T04:14:15Z,
66,17,https://www.iii.org/insuranceindustryblog/2009/08/,"August | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",271,45,https://www.centralparknyc.org/site/PageServer,Dofollow,the cityÃ¢â‚¬â„¢s Department of Parks and Recreation and at the,Central Park Conservancy,saying this is the most severe destruction the parkÃ¢â‚¬â„¢s trees,404,2020-03-20 13:28:45,2020-03-27T21:20:38Z,
67,17,https://www.iii.org/es/article/como-escoger-una-compania-de-seguro,¿Cómo escoger una compañía de seguro? | III,64,15,http://www.naifa.org/about/ethics.cfm).,Dofollow,que aprueba el Código de Ética de la organización (,http://www.naifa.org/about/ethics.cfm).,,404,2020-03-16 02:50:59,2020-04-05T01:35:40Z,
68,17,https://www.iii.org/article/buying-disability-insurance,Buying disability insurance | III,64,13,http://www.standardandpoor.com/,Dofollow,,http://www.standardandpoor.com,,Cannot resolve host,2020-03-29 21:54:45,2020-03-31T14:50:14Z,
69,17,https://www.iii.org/insuranceindustryblog/winter-storm-damage-insurers-have-you-covered/,"Winter Storm Damage? Insurers Have You Covered | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",239,8,https://www.floodsmart.gov/floodsmart/,Dofollow,"be covered by flood insurance, which is provided by FEMA’s",National Flood Insurance Program,", and a few private insurers. Flood insurance is available",404,2020-03-07 01:23:46,2020-04-18T07:07:16Z,
70,17,https://www.iii.org/es/article/el-inventario-de-su-casa,El Inventario de su Casa | III,61,10,http://www.reeusda.gov/,Dofollow,"Cooperative State Research, Education, and Extension Service, USDA",http://www.reeusda.gov/,,Cannot resolve host,2020-04-14 05:57:39,2020-03-18T04:00:24Z,
71,17,https://www.iii.org/es/article/japan-earthquake-and-pacific-tsunamis,Japan Earthquake and Pacific Tsunamis | III,87,51,http://news.blogs.cnn.com/2011/03/11/live-blog-japan-earthquake/,Dofollow,,CNN Live Blog,: CNN is tracking all the events surrounding the earthquake,Cannot resolve host,2020-01-29 16:42:18,2020-03-30T12:13:23Z,
72,17,https://www.iii.org/insuranceindustryblog/2012/05/,"May | 2012 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",287,48,https://www.jdpower.com/business/content/press-release/xrjzsrq/2012-insurance-website-evaluation-study.htm,Dofollow,,"Insurers have a fantastic opportunity to gain shoppers, and their referrals, by providing a website that is easy to use, has a professional and engaging appearance, and is a great resource for the shopping process.Ã¢â‚¬ ",,404,2020-03-17 11:52:48,2020-04-18T05:20:21Z,
73,17,https://www.iii.org/press-release/lightning-claim-costs-continue-to-rise-surging-electronics-prices-product-shortages-partly-to-blame-062112,"Lightning Claim Costs Continue to Rise; Surging Electronics Prices, Product Shortages, Partly to Blame | III",83,13,http://disastersafety.org/news/ibhs-helps-kick-off-lightning-safety-awareness-week-in-tampa/,Dofollow,"information on protecting your home or business from lightning, visit",IBHS,or the Lightning Protection Institute .,404,2020-03-25 14:18:47,2020-04-03T22:28:21Z,
74,17,https://www.iii.org/es/article/como-escoger-a-una-compania-de-seguros,¿Cómo escoger a una compañía de seguros? | III,66,14,http://www.standardandpoor.com/,Dofollow,,http://www.standardandpoor.com,,Cannot resolve host,2020-03-29 21:54:45,2020-03-06T16:01:17Z,
75,17,https://www.iii.org/es/article/c%C3%B3mo-hacer-un-reclamo-la-aseguradora-despu%C3%A9s-de-un-desastre,Cómo hacer un reclamo a la aseguradora después de un desastre | III,61,8,https://www.floodsmart.gov/floodsmart/,Dofollow,programa federal llamado Programa Nacional de Seguros de Inundación (,National Flood Insurance Program,"), es posible que el tasador de su compañía de",404,2020-03-07 01:23:46,2020-03-28T03:23:33Z,
76,17,https://www.iii.org/press-release/pokemon-go-app-takes-millions-of-players-to-exciting-new-worlds-insurance-can-help-make-those-worlds-and-this-one-safer-071316,Pokémon Go App Takes Millions Of Players To Exciting New Worlds; Insurance Can Help Make Those Worlds (And This One) Safer | III,77,18,https://www.whec.com/news/people-hurt-playing-pokemon-go/4194089/,Dofollow,or maybe not ). Unfortunately some of them are also,"walking, biking, or skating","into signposts, sewer grates and even each other—not to mention",404,2020-04-09 05:42:56,2020-04-08T07:57:38Z,
77,17,https://www.iii.org/insuranceindustryblog/2015/02/,"February | 2015 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",282,80,https://www.idtheftcenter.org/ITRC-Surveys-Studies/2014databreaches.html,Dofollow,of data breaches — the largest among industry sectors —,as reported by the Identity Theft Resource Center (ITRC),.,404,2020-03-25 00:06:02,2020-03-25T01:13:37Z,
78,17,https://www.iii.org/es/article/nueve-formas-de-bajar-los-costos-de-su-seguro-de-auto,Nueve formas de bajar los costos de su seguro de auto | III,63,16,http://www.reeusda.gov/,Dofollow,,www.reeusda.gov/,,Cannot resolve host,2020-04-14 05:57:39,2020-04-20T00:59:45Z,
79,17,https://www.iii.org/press-release/peak-hurricane-season-is-here-five-steps-to-disaster-proof-your-business-090816,Peak Hurricane Season Is Here: Five Steps To Disaster-Proof Your Business | III,79,16,https://www.floodsmart.gov/floodsmart/pages/commercial_coverage/cc_overview.jsp,Dofollow,,National Flood Insurance Program,,404,2020-03-09 15:46:49,2020-04-12T23:56:28Z,
80,17,https://www.iii.org/insuranceindustryblog/2012/11/,"November | 2012 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",292,107,https://www.umassd.edu/cmr/socialmedia/2012fortune500/,Dofollow,,"It is obvious that there has been a surge forward in the adoption and use of social media and new communications tools among this yearÃ¢â‚¬â„¢s Fortune 500. For years, this group has lagged behind other sectors and at times appeared to shun social media. These latest numbers show a renewed interest that includes using these tools for engagement, hiring and fundraising as well as for ...",,404,2020-04-08 17:41:09,2020-04-10T19:20:13Z,
80,17,https://www.iii.org/insuranceindustryblog/2012/11/,"November | 2012 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",292,107,https://www.floridablue.com/wps/portal/bcbsfl,Dofollow,"are: AAA Northern California, Nevada and Utah , AIG ,",Blue Cross Blue Shield of Florida,", Chubb Corp , Hartford Financial Services Group ,",404,2020-04-05 09:24:18,2020-04-10T19:20:13Z,
